"filename", "language", "C", "comment", "blank", "total"
"c:\Users\Client\Desktop\final\src\checker\expr.c", "C", 523, 69, 91, 683
"c:\Users\Client\Desktop\final\src\checker\helper.c", "C", 239, 1, 37, 277
"c:\Users\Client\Desktop\final\src\checker\operations.c", "C", 227, 2, 28, 257
"c:\Users\Client\Desktop\final\src\checker\stmt.c", "C", 1564, 137, 195, 1896
"c:\Users\Client\Desktop\final\src\helper\error.c", "C", 50, 0, 15, 65
"c:\Users\Client\Desktop\final\src\helper\file_manager.c", "C", 78, 0, 19, 97
"c:\Users\Client\Desktop\final\src\main.c", "C", 337, 1, 46, 384
"c:\Users\Client\Desktop\final\src\register\ir.c", "C", 0, 0, 1, 1
"c:\Users\Client\Desktop\final\src\register\register.c", "C", 760, 13, 128, 901
"c:\Users\Client\Desktop\final\src\register\type.c", "C", 0, 0, 1, 1
"c:\Users\Client\Desktop\final\src\syntax\lexer.c", "C", 273, 0, 52, 325
"c:\Users\Client\Desktop\final\src\syntax\parser.c", "C", 1158, 6, 214, 1378
"Total", "-", 5209, 229, 827, 6265
